Timestamp (s),Eye State,EAR Value
0.0,OPEN,0.28557623682607947
0.06666666666666667,OPEN,0.2986394621417225
0.13333333333333333,OPEN,0.2982097876374562
0.2,OPEN,0.30637147159175854
0.26666666666666666,OPEN,0.30455719574262274
0.3333333333333333,OPEN,0.3100169307083148
0.4,OPEN,0.31031577535849975
0.4666666666666667,OPEN,0.30523528980773973
0.5333333333333333,OPEN,0.30549169504054274
0.6,OPEN,0.2962906225785765
0.6666666666666666,CLOSED,0.24579407605109022
0.7333333333333333,CLOSED,0.22982579145224474
0.8,OPEN,0.3157201502848387
0.8666666666666667,OPEN,0.34028244527689866
0.9333333333333333,OPEN,0.3297871232071494
1.0,OPEN,0.33123176481249905
1.0666666666666667,OPEN,0.3362714831698278
1.1333333333333333,OPEN,0.33717841410778393
1.2,OPEN,0.3318519027871388
1.2666666666666666,OPEN,0.3349748428331167
1.3333333333333333,OPEN,0.33876594654027514
1.4,OPEN,0.33601671762496005
1.4666666666666666,OPEN,0.2605494300940612
1.5333333333333334,CLOSED,0.2448109936645689
1.6,CLOSED,0.24038518671252396
1.6666666666666667,OPEN,0.2776352892202026
1.7333333333333334,OPEN,0.29719736888175025
1.8,OPEN,0.29621829362777374
1.8666666666666667,OPEN,0.30121339380810896
1.9333333333333333,OPEN,0.30517692696031673
2.0,OPEN,0.30797119525108285
2.066666666666667,OPEN,0.3121232952692883
2.1333333333333333,OPEN,0.3142851915984386
2.2,OPEN,0.3157818513320545
2.2666666666666666,OPEN,0.3151249169896351
2.3333333333333335,OPEN,0.3170483527483034
2.4,OPEN,0.31520160058075253
2.466666666666667,OPEN,0.31273836191717136
2.533333333333333,OPEN,0.3112558174053398
2.6,OPEN,0.3092036877998898
2.6666666666666665,OPEN,0.3097448860084002
2.7333333333333334,OPEN,0.31270480177608595
2.8,OPEN,0.3126392724841287
2.8666666666666667,OPEN,0.31692920350307574
2.933333333333333,OPEN,0.31272419375107874
3.0,OPEN,0.3068926820946622
3.066666666666667,OPEN,0.31281334371092384
3.1333333333333333,OPEN,0.3098688299003264
3.2,OPEN,0.3087401184404688
3.2666666666666666,OPEN,0.31218959384215345
3.3333333333333335,OPEN,0.31263949977507344
3.4,OPEN,0.309421887435148
3.466666666666667,OPEN,0.3097665065041689
3.533333333333333,OPEN,0.29855182263129776
3.6,OPEN,0.29019573822818795
3.6666666666666665,OPEN,0.2869828996020811
3.7333333333333334,OPEN,0.28958312233340167
3.8,OPEN,0.301198850029847
3.8666666666666667,OPEN,0.2945548497790528
